treatment,sum.total.cocoons,sum.female.cocoons,sum.male.cocoons
Ca,262,194,68
Cb,1705,876,829
Cc,1696,1052,644
Cd,428,299,129
Ce,996,538,458
Cf,3198,1861,1337
Cg,2452,1469,983
Ch,1712,1099,613
