"Date","DAE","treatment","sum.cells"
"05 Apr 2014",-1,"Ca",0
"10 Apr 2014",4,"Ca",0
"13 Apr 2014",7,"Ca",5
"16 Apr 2014",10,"Ca",8
"19 Apr 2014",13,"Ca",9
"22 Apr 2014",16,"Ca",12
"25 Apr 2014",19,"Ca",28
"28 Apr 2014",22,"Ca",62
"01 May 2014",25,"Ca",71
"04 May 2014",28,"Ca",76
"07 May 2014",31,"Ca",135
"10 May 2014",34,"Ca",196
"13 May 2014",37,"Ca",206
"16 May 2014",40,"Ca",223
"19 May 2014",43,"Ca",251
"22 May 2014",46,"Ca",311
"26 May 2014",50,"Ca",321
"28 May 2014",52,"Ca",329
"05 Apr 2014",-1,"Cb",0
"10 Apr 2014",4,"Cb",0
"13 Apr 2014",7,"Cb",80
"16 Apr 2014",10,"Cb",128
"19 Apr 2014",13,"Cb",160
"22 Apr 2014",16,"Cb",197
"25 Apr 2014",19,"Cb",385
"28 Apr 2014",22,"Cb",600
"01 May 2014",25,"Cb",660
"04 May 2014",28,"Cb",725
"07 May 2014",31,"Cb",1157
"10 May 2014",34,"Cb",1444
"13 May 2014",37,"Cb",1565
"16 May 2014",40,"Cb",1665
"19 May 2014",43,"Cb",1780
"22 May 2014",46,"Cb",1965
"26 May 2014",50,"Cb",1999
"28 May 2014",52,"Cb",2032
"05 Apr 2014",-1,"Cc",0
"10 Apr 2014",4,"Cc",1
"13 Apr 2014",7,"Cc",35
"16 Apr 2014",10,"Cc",42
"19 Apr 2014",13,"Cc",55
"22 Apr 2014",16,"Cc",60
"25 Apr 2014",19,"Cc",100
"28 Apr 2014",22,"Cc",260
"01 May 2014",25,"Cc",306
"04 May 2014",28,"Cc",372
"07 May 2014",31,"Cc",741
"10 May 2014",34,"Cc",1110
"13 May 2014",37,"Cc",1280
"16 May 2014",40,"Cc",1439
"19 May 2014",43,"Cc",1753
"22 May 2014",46,"Cc",2099
"26 May 2014",50,"Cc",2124
"28 May 2014",52,"Cc",2149
"05 Apr 2014",-1,"Cd",0
"10 Apr 2014",4,"Cd",4
"13 Apr 2014",7,"Cd",10
"16 Apr 2014",10,"Cd",15
"19 Apr 2014",13,"Cd",21
"22 Apr 2014",16,"Cd",24
"25 Apr 2014",19,"Cd",49
"28 Apr 2014",22,"Cd",84
"01 May 2014",25,"Cd",94
"04 May 2014",28,"Cd",110
"07 May 2014",31,"Cd",188
"10 May 2014",34,"Cd",274
"13 May 2014",37,"Cd",314
"16 May 2014",40,"Cd",332
"19 May 2014",43,"Cd",322
"22 May 2014",46,"Cd",489
"26 May 2014",50,"Cd",489
"28 May 2014",52,"Cd",489
"05 Apr 2014",-1,"Ce",0
"10 Apr 2014",4,"Ce",0
"13 Apr 2014",7,"Ce",26
"16 Apr 2014",10,"Ce",40
"19 Apr 2014",13,"Ce",54
"22 Apr 2014",16,"Ce",67
"25 Apr 2014",19,"Ce",111
"28 Apr 2014",22,"Ce",207
"01 May 2014",25,"Ce",229
"04 May 2014",28,"Ce",253
"07 May 2014",31,"Ce",460
"10 May 2014",34,"Ce",657
"13 May 2014",37,"Ce",758
"16 May 2014",40,"Ce",821
"19 May 2014",43,"Ce",992
"22 May 2014",46,"Ce",1231
"26 May 2014",50,"Ce",1238
"28 May 2014",52,"Ce",1260
"05 Apr 2014",-1,"Cf",0
"10 Apr 2014",4,"Cf",30
"13 Apr 2014",7,"Cf",159
"16 Apr 2014",10,"Cf",249
"19 Apr 2014",13,"Cf",326
"22 Apr 2014",16,"Cf",389
"25 Apr 2014",19,"Cf",790
"28 Apr 2014",22,"Cf",1282
"01 May 2014",25,"Cf",1426
"04 May 2014",28,"Cf",1588
"07 May 2014",31,"Cf",2455
"10 May 2014",34,"Cf",3057
"13 May 2014",37,"Cf",3271
"16 May 2014",40,"Cf",3336
"19 May 2014",43,"Cf",3356
"22 May 2014",46,"Cf",3579
"26 May 2014",50,"Cf",3840
"28 May 2014",52,"Cf",3840
"05 Apr 2014",-1,"Cg",0
"10 Apr 2014",4,"Cg",0
"13 Apr 2014",7,"Cg",60
"16 Apr 2014",10,"Cg",85
"19 Apr 2014",13,"Cg",114
"22 Apr 2014",16,"Cg",152
"25 Apr 2014",19,"Cg",372
"28 Apr 2014",22,"Cg",720
"01 May 2014",25,"Cg",789
"04 May 2014",28,"Cg",846
"07 May 2014",31,"Cg",1489
"10 May 2014",34,"Cg",1901
"13 May 2014",37,"Cg",2075
"16 May 2014",40,"Cg",2217
"19 May 2014",43,"Cg",2369
"22 May 2014",46,"Cg",2801
"26 May 2014",50,"Cg",2916
"28 May 2014",52,"Cg",2931
"05 Apr 2014",-1,"Ch",0
"10 Apr 2014",4,"Ch",0
"13 Apr 2014",7,"Ch",13
"16 Apr 2014",10,"Ch",40
"19 Apr 2014",13,"Ch",72
"22 Apr 2014",16,"Ch",85
"25 Apr 2014",19,"Ch",245
"28 Apr 2014",22,"Ch",470
"01 May 2014",25,"Ch",548
"04 May 2014",28,"Ch",591
"07 May 2014",31,"Ch",996
"10 May 2014",34,"Ch",1287
"13 May 2014",37,"Ch",1411
"16 May 2014",40,"Ch",1534
"19 May 2014",43,"Ch",1712
"22 May 2014",46,"Ch",1995
"26 May 2014",50,"Ch",2011
"28 May 2014",52,"Ch",2032
