treatment,female.mean.weight.g,male.mean.weight.g,female.num,male.num,female.unhatched,male.unhatched
Ca,0.084,0.050,43,80,3,16
Cb,0.091,0.051,110,258,26,30
Cc,NA,NA,4,42,5,12
Cd,0.096,0.054,102,191,2,15
Ce,0.040,0.040,2,2,0,0
Cf,0.094,0.051,23,49,5,4
Cg,0.094,0.046,14,27,0,0
Ch,0.086,0.049,18,46,1,3
