treatment,sum.total.cocoons,sum.female.cocoons,sum.male.cocoons
Ca,154,60,94
Cb,432,186,246
Cc,39,14,25
Cd,318,146,172
Ce,5,0,5
Cf,81,35,46
Cg,42,18,24
Ch,69,26,43
