"Date","DAE","treatment","sum.cells"
"02 May 2015",3,"Ca",0
"05 May 2015",6,"Ca",53
"08 May 2015",9,"Ca",53
"11 May 2015",12,"Ca",53
"14 May 2015",15,"Ca",57
"17 May 2015",18,"Ca",74
"20 May 2015",21,"Ca",127
"23 May 2015",24,"Ca",165
"26 May 2015",27,"Ca",200
"29 May 2015",30,"Ca",217
"01 Jun 2015",33,"Ca",229
"04 Jun 2015",36,"Ca",237
"02 May 2015",3,"Cb",0
"05 May 2015",6,"Cb",75
"08 May 2015",9,"Cb",75
"11 May 2015",12,"Cb",75
"14 May 2015",15,"Cb",107
"17 May 2015",18,"Cb",171
"20 May 2015",21,"Cb",304
"23 May 2015",24,"Cb",425
"26 May 2015",27,"Cb",514
"29 May 2015",30,"Cb",546
"01 Jun 2015",33,"Cb",569
"04 Jun 2015",36,"Cb",592
"02 May 2015",3,"Cc",0
"05 May 2015",6,"Cc",0
"08 May 2015",9,"Cc",0
"11 May 2015",12,"Cc",1
"14 May 2015",15,"Cc",8
"17 May 2015",18,"Cc",14
"20 May 2015",21,"Cc",28
"23 May 2015",24,"Cc",42
"26 May 2015",27,"Cc",46
"29 May 2015",30,"Cc",47
"01 Jun 2015",33,"Cc",48
"04 Jun 2015",36,"Cc",49
"02 May 2015",3,"Cd",0
"05 May 2015",6,"Cd",0
"08 May 2015",9,"Cd",0
"11 May 2015",12,"Cd",1
"14 May 2015",15,"Cd",40
"17 May 2015",18,"Cd",100
"20 May 2015",21,"Cd",212
"23 May 2015",24,"Cd",281
"26 May 2015",27,"Cd",339
"29 May 2015",30,"Cd",351
"01 Jun 2015",33,"Cd",358
"04 Jun 2015",36,"Cd",365
"02 May 2015",3,"Ce",0
"05 May 2015",6,"Ce",0
"08 May 2015",9,"Ce",0
"11 May 2015",12,"Ce",0
"14 May 2015",15,"Ce",1
"17 May 2015",18,"Ce",2
"20 May 2015",21,"Ce",4
"23 May 2015",24,"Ce",5
"26 May 2015",27,"Ce",6
"29 May 2015",30,"Ce",6
"01 Jun 2015",33,"Ce",6
"04 Jun 2015",36,"Ce",7
"02 May 2015",3,"Cf",0
"05 May 2015",6,"Cf",0
"08 May 2015",9,"Cf",0
"11 May 2015",12,"Cf",0
"14 May 2015",15,"Cf",11
"17 May 2015",18,"Cf",21
"20 May 2015",21,"Cf",45
"23 May 2015",24,"Cf",72
"26 May 2015",27,"Cf",94
"29 May 2015",30,"Cf",103
"01 Jun 2015",33,"Cf",105
"04 Jun 2015",36,"Cf",108
"02 May 2015",3,"Cg",0
"05 May 2015",6,"Cg",0
"08 May 2015",9,"Cg",0
"11 May 2015",12,"Cg",0
"14 May 2015",15,"Cg",1
"17 May 2015",18,"Cg",6
"20 May 2015",21,"Cg",19
"23 May 2015",24,"Cg",34
"26 May 2015",27,"Cg",43
"29 May 2015",30,"Cg",46
"01 Jun 2015",33,"Cg",47
"04 Jun 2015",36,"Cg",48
"02 May 2015",3,"Ch",0
"05 May 2015",6,"Ch",0
"08 May 2015",9,"Ch",0
"11 May 2015",12,"Ch",0
"14 May 2015",15,"Ch",10
"17 May 2015",18,"Ch",19
"20 May 2015",21,"Ch",47
"23 May 2015",24,"Ch",64
"26 May 2015",27,"Ch",73
"29 May 2015",30,"Ch",76
"01 Jun 2015",33,"Ch",78
"04 Jun 2015",36,"Ch",79
