name,Start.day,Species,Voltinism,Initial.num.f,Initial.num.m,Initial.stage,Initial.age,RndSeed,MultiYearInput,List.input.floral,Num.repeat.yr,input.floral,stoch.crop.forag,Density.dep,DD.thresh.s,DD.max.cells.s,DD.funct,DD.log.slope,day.emerge.f,var.emerge.f,day.emerge.m,var.emerge.m,latest.emerge,dev.egg,dev.larva,dev.cocoon,t.maturation,m.life,max.nesting.life,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,max.survival.e.m,emerged.survival,a.cell.age,a.sex.age,a.size.age,a.cell.resource,a.sex.resource,a.size.resource,Effects,ad.nectar.cons,ad.pollen.cons,k_CA,Transfer.mat.adult,ad.ET,TC_soil,TC_leaf,Exposure.resting.soil,GUTS,t.guts,kd_SD,bw_SD,mw_SD,kd_IT,mw_IT,Fs_IT,nectar_prop,weight.prov,Transfer.mat.dev,SM,F,SA_i,dr.intercept,dr.slope
2877,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,26,0.042964495,0.524145958,1.093989755,0.947332296,0.947332296,0.540237853,-0.005632293,-0.039164419,-0.002991447,0.982586732,0.45901184,0.120877847,TRUE,194.2860205,10.54266699,0.4,TRUE,0.81905549,0.542858911,0,FALSE,GUTS-SD,10,0.424429887,0.014114483,13.556162,0,0,0,0.661157445,254.9054573,TRUE,0,0,0,1.059467168,-0.865448235
2878,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,1,14,25,0.040880616,0.528894091,0.952669402,0.784753939,0.784753939,0.50966235,-0.006365207,-0.0372584,-0.003238718,0.899885026,0.440435205,0.122822398,TRUE,203.3956178,12.00303072,0.4,TRUE,0.809868918,0.453381258,0,FALSE,GUTS-SD,10,0.40580096,0.012743289,12.23854924,0,0,0,0.643552667,245.8928279,TRUE,0,0,0,1.23147874,-0.739825515
2879,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,29,0.042557875,0.514762128,0.990983107,0.795587937,0.795587937,0.583049555,-0.006063951,-0.040330977,-0.003210596,0.993652156,0.395886071,0.115699864,TRUE,216.122688,10.66471186,0.4,TRUE,0.722537517,0.475938801,0,FALSE,GUTS-SD,10,0.367215133,0.014079639,13.23348529,0,0,0,0.625886581,279.494483,TRUE,0,0,0,1.145348346,-0.841923752
2880,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,5,175,8,365,2,6,20,1,14,24,0.041151503,0.497869574,1.022894531,0.895580314,0.895580314,0.55910112,-0.00564267,-0.041512948,-0.003247784,1.012890895,0.425338285,0.114485575,TRUE,228.1411488,12.61059186,0.4,TRUE,0.728594274,0.490848944,0,FALSE,GUTS-SD,10,0.376930858,0.013405096,11.99504769,0,0,0,0.729344284,281.8073788,TRUE,0,0,0,1.095915207,-0.80026045
2881,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,2,14,26,0.038541303,0.529177213,0.971950983,0.784067761,0.784067761,0.577052246,-0.006012626,-0.040008283,-0.003195723,1.002193222,0.408663815,0.118104402,TRUE,196.5073333,11.37400109,0.4,TRUE,0.746440321,0.544734954,0,FALSE,GUTS-SD,10,0.38856198,0.015081081,12.91565461,0,0,0,0.692203052,272.7730125,TRUE,0,0,0,1.162831576,-0.749016801
2882,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,2,14,25,0.037143039,0.527532498,1.091128788,0.856752941,0.856752941,0.539418617,-0.005464209,-0.043433998,-0.003155954,0.897184128,0.447970223,0.121648862,TRUE,203.4770482,11.06733587,0.4,TRUE,0.747224241,0.500806226,0,FALSE,GUTS-SD,10,0.366641887,0.013234456,12.2882123,0,0,0,0.712557956,275.992525,TRUE,0,0,0,1.24154661,-0.710970912
2883,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,2,14,27,0.041435568,0.48176733,1.0238703,0.842264961,0.842264961,0.578915674,-0.00607337,-0.03863232,-0.003116698,0.976926934,0.387840884,0.120911538,TRUE,213.0079221,12.12374138,0.4,TRUE,0.710411087,0.460504096,0,FALSE,GUTS-SD,10,0.398401206,0.013287624,11.74710921,0,0,0,0.70161266,282.3092258,TRUE,0,0,0,1.058204595,-0.793821851
2884,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,6,175,8,365,2,6,20,2,14,23,0.042778856,0.467694155,0.945828038,0.881719576,0.881719576,0.588105895,-0.005721188,-0.041705495,-0.003101871,0.865585554,0.45027633,0.110526968,TRUE,190.462064,12.09105995,0.4,TRUE,0.707751518,0.515446722,0,FALSE,GUTS-SD,10,0.39774256,0.015218216,12.35876374,0,0,0,0.612599881,260.6629719,TRUE,0,0,0,1.255064626,-0.748853128
2885,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,28,0.037622664,0.555103297,1.065360214,0.794379199,0.794379199,0.522315021,-0.005727573,-0.037387853,-0.00328552,0.95268121,0.382930499,0.103972488,TRUE,216.1721651,12.26542073,0.4,TRUE,0.751555331,0.460168928,0,FALSE,GUTS-SD,10,0.419489791,0.012626745,12.53915389,0,0,0,0.711171066,277.2948457,TRUE,0,0,0,1.22952491,-0.859226129
2886,1,N.melanderi,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_Exp2_Nomia_Jan2023.csv,FALSE,FALSE,1,1,linear,1,182,7,175,8,365,2,6,20,1,14,24,0.041220212,0.514351841,0.973940805,0.856719298,0.856719298,0.538368241,-0.006269827,-0.043513438,-0.003007426,0.855763569,0.380062558,0.107427231,TRUE,225.5917564,11.7448913,0.4,TRUE,0.702837139,0.526099419,0,FALSE,GUTS-SD,10,0.354127925,0.014386742,12.66795221,0,0,0,0.734583773,261.3837145,TRUE,0,0,0,1.04293125,-0.866032196
