name,Start.day,Species,Voltinism,Initial.num.f,Initial.num.m,Initial.stage,Initial.age,RndSeed,MultiYearInput,List.input.floral,Num.repeat.yr,input.floral,stoch.crop.forag,Density.dep,DD.thresh.s,DD.max.cells.s,DD.funct,DD.log.slope,day.emerge.f,var.emerge.f,day.emerge.m,var.emerge.m,latest.emerge,dev.egg,dev.larva,dev.cocoon,t.maturation,m.life,max.nesting.life,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,max.survival.e.m,emerged.survival,a.cell.age,a.sex.age,a.size.age,a.cell.resource,a.sex.resource,a.size.resource,Effects,ad.nectar.cons,ad.pollen.cons,k_CA,Transfer.mat.adult,ad.ET,TC_soil,TC_leaf,Exposure.resting.soil,GUTS,t.guts,kd_SD,bw_SD,mw_SD,kd_IT,mw_IT,Fs_IT,nectar_prop,weight.prov,Transfer.mat.dev,SM,F,SA_i,dr.intercept,dr.slope
6444,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,5,99,2,365,8,32,68,9,21,33,0.081082043,0.83913715,1.702944406,0.848748907,0.848748907,0.549311743,-0.005897887,-0.047932784,-0.004250662,0.489085917,0.238546189,0.179179256,TRUE,232.2256801,11.09096115,0.4,TRUE,0.036972167,0.046224715,0,FALSE,GUTS-IT,10,0,0,0,0.032296501,0.663318463,3.385726209,0.779221997,338.3444626,TRUE,180.2444244,0,0,1.339930745,-0.584412101
6445,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,3,99,2,365,8,32,68,3,21,30,0.018094522,0.433856009,2.239363722,0.640509066,0.640509066,0.596134403,-0.007946214,-0.032054459,-0.003013429,0.72872509,0.260735742,0.178539216,TRUE,210.3901642,17.18380622,0.4,TRUE,0.067613111,0.054440626,0,FALSE,GUTS-IT,10,0,0,0,0.038278955,4.290050821,3.331613087,0.778198089,337.1585481,TRUE,147.4923332,0,0,1.265030001,-0.931280435
6446,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,5,99,2,365,8,32,68,8,21,29,0.079150869,0.67439577,1.492303186,0.817004107,0.817004107,0.51645349,-0.006603737,-0.043133078,-0.003031844,1.109448584,0.277832924,0.182600104,TRUE,214.1292463,22.72303485,0.4,TRUE,0.087255834,0.551320702,0,FALSE,GUTS-IT,10,0,0,0,0.047658067,6.413821349,3.384700901,0.782661402,267.7139759,TRUE,216.2863883,0,0,0.94396592,-0.69670779
6447,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,3,99,2,365,8,32,68,6,21,29,0.017136972,0.706653845,1.99235266,0.708961898,0.708961898,0.511658301,-0.004944354,-0.05320117,-0.002228882,0.831890826,0.228384948,0.303926898,TRUE,217.2714769,15.01766662,0.4,TRUE,0.141354295,0.160781487,0,FALSE,GUTS-IT,10,0,0,0,0.048632726,3.243282148,2.882945091,0.776148812,325.1663083,TRUE,220.9073121,0,0,1.010325951,-0.521539379
6448,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,3,99,2,365,8,32,68,8,21,35,0.037238138,0.439052285,2.619635624,0.597825593,0.597825593,0.654627054,-0.007059079,-0.050688005,-0.0024511,0.713550033,0.317991566,0.092851886,TRUE,265.1680133,4.261874939,0.4,TRUE,0.084570998,0.507181362,0,FALSE,GUTS-IT,10,0,0,0,0.006342362,3.728671637,2.978502523,0.784308071,325.3698461,TRUE,198.1007991,0,0,0.987155168,-1.012170772
6449,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,5,99,2,365,8,32,68,2,21,30,0.049316168,0.967524323,2.447327066,0.678526189,0.678526189,0.543984011,-0.004219715,-0.037610597,-0.001812105,1.15845586,0.424432602,0.267877466,TRUE,212.4932558,19.62020605,0.4,TRUE,0.112171803,0.290582119,0,FALSE,GUTS-IT,10,0,0,0,0.045880484,4.040034234,2.971723062,0.779174008,313.5994504,TRUE,205.8934059,0,0,1.131861699,-0.589725175
6450,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,6,99,2,365,8,32,68,10,21,27,0.048392943,0.870025685,2.417531312,0.673048521,0.673048521,0.660363266,-0.007193104,-0.059161205,-0.001388492,0.98343398,0.524570313,0.22817111,TRUE,153.0570984,13.37793406,0.4,TRUE,0.062625874,0.008076233,0,FALSE,GUTS-IT,10,0,0,0,0.005204304,1.340298911,3.162193315,0.786317325,262.0834386,TRUE,183.7882263,0,0,1.470835836,-0.643987702
6451,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,4,99,2,365,8,32,68,9,21,30,0.010874566,0.682795821,2.875251909,0.62920545,0.62920545,0.547703539,-0.006922466,-0.051276177,-0.004750737,0.436814188,0.481157666,0.171688061,TRUE,247.1963956,12.82170806,0.4,TRUE,0.133236864,0.553167459,0,FALSE,GUTS-IT,10,0,0,0,0.044699428,6.709281857,2.855699853,0.772659396,341.0334649,TRUE,179.4198968,0,0,1.070649469,-0.76101112
6452,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,1,99,2,365,8,32,68,10,21,34,0.023167002,0.740313264,1.27193726,0.750651796,0.750651796,0.520898392,-0.005515296,-0.039251105,-0.001636801,0.880747561,0.502529399,0.256586017,TRUE,201.4807559,20.47666568,0.4,TRUE,0.047227178,0.343513987,0,FALSE,GUTS-IT,10,0,0,0,0.012543396,6.780318492,2.731108624,0.786879621,257.6649473,TRUE,207.8572133,0,0,1.314127428,-0.53919355
6453,1,O.bicornis,univoltine,100,200,cocoon,200,"573,74,197,3409,42,6840,918,123,4920,387",FALSE,NA,2,Floral_generic_control_exposure_Jan2023.csv,FALSE,FALSE,1,1,linear,1,113,1,99,2,365,8,32,68,7,21,28,0.01202368,0.573014554,2.753875184,0.654975655,0.654975655,0.690186589,-0.005037296,-0.051172401,-0.002420152,0.938870165,0.362028753,0.244496954,TRUE,248.563487,13.03345044,0.4,TRUE,0.114370722,0.347361035,0,FALSE,GUTS-IT,10,0,0,0,0.047330176,8.927057847,3.009211765,0.782243564,343.7864853,TRUE,196.4776513,0,0,1.098965948,-0.967244892
