"doy","Prop_foraging_day","Quality_crop","Quality_nat","Prop_foraging_crop","Concentration_nectar","Concentration_pollen","Concentration_spray","Concentration.nest.mat","Concentration.leaf"
112,1,1,0,1,0,0,0,5.09333333333333e-16,0
113,1,1,0,1,0,0,0,4.93533333333333e-16,0
114,1,1,0,1,0,0,0,5.41533333333333e-16,0
115,1,1,0,1,0,0,0,9.14e-13,0
116,1,1,0,1,0,0,0,9.32e-12,0
117,1,1,0,1,0,0,0,6.68e-08,0
118,1,1,0,1,0,0,0,2.70133333333333e-06,0
119,1,1,0,1,0,0,0,7.29333333333333e-06,0
120,1,1,0,1,0,0,0,9.44666666666667e-06,0
121,1,1,0,1,0,0,0,1.32466666666667e-05,0
122,1,1,0,1,0,0,0,1.63066666666667e-05,0
123,1,1,0,1,0,0,0,1.80666666666667e-05,0
124,1,1,0,1,0,0,0,1.89933333333333e-05,0
125,1,1,0,1,0,0,0,1.934e-05,0
126,1,1,0,1,0,0,0,1.94466666666667e-05,0
127,1,1,0,1,0,0,0,1.88266666666667e-05,0
128,1,1,0,1,0,0,0,1.79933333333333e-05,0
129,1,1,0,1,0,0,0,1.76e-05,0
130,1,1,0,1,0,0,0,1.736e-05,0
131,1,1,0,1,0,0,0,1.7e-05,0
132,1,1,0,1,0,0,0,1.65e-05,0
133,1,1,0,1,0,0,0,1.59533333333333e-05,0
134,1,1,0,1,0,0,0,1.54133333333333e-05,0
135,1,1,0,1,0,0,0,1.48e-05,0
136,1,1,0,1,0,0,0,1.402e-05,0
137,1,1,0,1,0,0,0,1.31266666666667e-05,0
138,1,1,0,1,0,0,0,1.21933333333333e-05,0
139,1,1,0,1,0,0,0,1.12266666666667e-05,0
140,1,1,0,1,0,0,0,1.03533333333333e-05,0
141,1,1,0,1,0,0,0,9.66e-06,0
142,1,1,0,1,0,0,0,9.12666666666667e-06,0
143,1,1,0,1,0,0,0,8.66e-06,0
144,1,1,0,1,0,0,0,8.15333333333333e-06,0
145,1,1,0,1,0,0,0,7.60666666666667e-06,0
146,1,1,0,1,0,0,0,7.04e-06,0
147,1,1,0,1,0,0,0,6.42733333333333e-06,0
148,1,1,0,1,0,0,0,5.81866666666667e-06,0
149,1,1,0,1,0,0,0,5.26066666666667e-06,0
150,1,1,0,1,0,0,0,5.22666666666667e-06,0
151,1,1,0,1,0,0,0,5.20733333333333e-06,0
152,1,1,0,1,0,0,0,4.80333333333333e-06,0
153,1,1,0,1,0,0,0,4.42333333333333e-06,0
154,1,1,0,1,0,0,0,4.04066666666667e-06,0
155,1,1,0,1,0,0,0,3.644e-06,0
156,1,1,0,1,0,0,0,3.216e-06,0
157,1,1,0,1,0,0,0,2.78133333333333e-06,0
158,1,1,0,1,0,0,0,2.394e-06,0
159,1,1,0,1,0,0,0,2.07466666666667e-06,0
160,1,1,0,1,0,0,0,4.482e-06,0
161,1,1,0,1,0,0,0,8.75333333333333e-06,0
162,1,1,0,1,0,0,0,9e-06,0
163,1,1,0,1,0,0,0,7.72666666666667e-06,0
164,1,1,0,1,0,0,0,6.42133333333333e-06,0
165,1,1,0,1,0,0,0,5.97933333333333e-06,0
166,1,1,0,1,0,0,0,4.84666666666667e-06,0
167,1,1,0,1,0,0,0,3.92e-06,0
168,1,1,0,1,0,0,0,3.29733333333333e-06,0
169,1,1,0,1,0,0,0,2.79533333333333e-06,0
170,1,1,0,1,0,0,0,2.416e-06,0
171,1,1,0,1,0,0,0,2.11133333333333e-06,0
172,1,1,0,1,0,0,0,1.86066666666667e-06,0
173,1,1,0,1,0,0,0,1.64733333333333e-06,0
174,1,1,0,1,0,0,0,1.462e-06,0
175,1,1,0,1,0,0,0,1.28933333333333e-06,0
176,1,1,0,1,0,0,0,1.12066666666667e-06,0
177,1,1,0,1,0,0,0,9.78e-07,0
178,1,1,0,1,0,0,0,8.66666666666667e-07,0
179,1,1,0,1,0,0,0,7.72666666666667e-07,0
180,1,1,0,1,0,0,0,6.78e-07,0
181,1,1,0,1,0.5173,0.5173,2280,5.88066666666667e-07,0
182,1,1,0,1,0.309241639767135,0.309241639767135,0,5.07066666666667e-07,0
183,1,1,0,1,0.18486447277376,0.18486447277376,0,4.35666666666667e-07,0
184,1,1,0,1,0.110511874531692,0.110511874531692,0,3.35733333333333e-07,0
185,1,1,0,1,0.0660639344556744,0.0660639344556744,0,2.46866666666667e-07,0
186,1,1,0,1,0.0394929816751233,0.0394929816751233,0,2.05133333333333e-07,0
187,1,1,0,1,0.023608881524277,0.023608881524277,0,1.74333333333333e-07,0
188,1,1,0,1,0.0141133756729856,0.0141133756729856,0,1.46066666666667e-07,0
189,1,1,0,1,0.00843696778612729,0.00843696778612729,0,1.2e-07,0
190,1,1,0,1,0.00504361444586216,0.00504361444586216,0,1.018e-07,0
191,1,1,0,1,0.00301506978850111,0.00301506978850111,0,8.66666666666667e-08,0
192,1,1,0,1,0.0018024069696664,0.0018024069696664,0,7.4e-08,0
193,1,1,0,1,0.00107747784037763,0.00107747784037763,0,6.47333333333333e-08,0
194,1,1,0,1,0.000644115627626388,0.000644115627626388,0,5.73466666666667e-08,0
195,1,1,0,1,0.000385051948360374,0.000385051948360374,0,5.07066666666667e-08,0
196,1,1,0,1,0.000230183831251676,0.000230183831251676,0,4.478e-08,0
197,1,1,0,1,0.00013760376072714,0.00013760376072714,0,3.79666666666667e-08,0
198,1,1,0,1,8.22594482996043e-05,8.22594482996043e-05,0,3.18133333333333e-08,0
199,1,1,0,1,4.91746504514005e-05,4.91746504514005e-05,0,2.74133333333333e-08,0
200,1,1,0,1,2.93965774996458e-05,2.93965774996458e-05,0,2.274e-08,0
201,1,1,0,1,1.75732569679724e-05,1.75732569679724e-05,0,1.84933333333333e-08,0
202,1,1,0,1,1.05052828162092e-05,1.05052828162092e-05,0,1.52866666666667e-08,0
203,1,1,0,1,6.28005197042726e-06,6.28005197042726e-06,0,1.31666666666667e-08,0
204,1,1,0,1,3.75421142307704e-06,3.75421142307704e-06,0,1.17066666666667e-08,0
205,1,1,0,1,2.2442654098296e-06,2.2442654098296e-06,0,1.02133333333333e-08,0
206,1,1,0,1,1.34162055945943e-06,1.34162055945943e-06,0,8.66666666666667e-09,0
207,1,1,0,1,8.02019991789166e-07,8.02019991789166e-07,0,7.26e-09,0
208,1,1,0,1,4.79447085611648e-07,4.79447085611648e-07,0,5.944e-09,0
209,1,1,0,1,2.8661318951502e-07,2.8661318951502e-07,0,4.80266666666667e-09,0
210,1,1,0,1,1.71337198346246e-07,1.71337198346246e-07,0,3.88266666666667e-09,0
211,1,1,0,1,1.02425277729944e-07,1.02425277729944e-07,0,3.10666666666667e-09,0
212,1,1,0,1,6.12297715809241e-08,6.12297715809241e-08,0,2.486e-09,0
213,1,1,0,1,3.66031219142704e-08,3.66031219142704e-08,0,2.06466666666667e-09,0
214,1,1,0,1,2.18813250364689e-08,2.18813250364689e-08,0,1.70933333333333e-09,0
215,1,1,0,1,1.30806434072207e-08,1.30806434072207e-08,0,1.33133333333333e-09,0
216,1,1,0,1,7.81960103703476e-09,7.81960103703476e-09,0,1.036e-09,0
217,1,1,0,1,4.6745529615647e-09,4.6745529615647e-09,0,8.67333333333333e-10,0
218,1,1,0,1,2.79444504738563e-09,2.79444504738563e-09,0,7.27333333333333e-10,0
219,1,1,0,1,1.67051762747473e-09,1.67051762747473e-09,0,5.95733333333333e-10,0
220,1,1,0,1,9.98634468161973e-10,9.98634468161973e-10,0,4.99533333333333e-10,0
221,1,1,0,1,5.96983105475332e-10,5.96983105475332e-10,0,4.34266666666667e-10,0
222,1,1,0,1,3.56876153973455e-10,3.56876153973455e-10,0,3.95066666666667e-10,0
223,1,1,0,1,2.13340357719968e-10,2.13340357719968e-10,0,3.52933333333333e-10,0
224,1,1,0,1,1.27534742025575e-10,1.27534742025575e-10,0,3.03333333333333e-10,0
225,1,1,0,1,7.62401947637103e-11,7.62401947637103e-11,0,2.58e-10,0
226,1,1,0,1,4.55763441811241e-11,4.55763441811241e-11,0,2.31533333333333e-10,0
227,1,1,0,1,2.72455120996754e-11,2.72455120996754e-11,0,2.13866666666667e-10,0
228,1,1,0,1,1.6287351320315e-11,1.6287351320315e-11,0,1.87866666666667e-10,0
229,1,1,0,1,9.73656916635919e-12,9.73656916635919e-12,0,1.59e-10,0
230,1,1,0,1,5.82051539669639e-12,5.82051539669639e-12,0,1.32733333333333e-10,0
231,1,1,0,1,3.47950072600859e-12,3.47950072600859e-12,0,1.09133333333333e-10,0
232,1,1,0,1,2.08004351455989e-12,2.08004351455989e-12,0,9.34e-11,0
233,1,1,0,1,1.24344880577903e-12,1.24344880577903e-12,0,8.29333333333333e-11,0
234,1,1,0,1,7.43332974416382e-13,7.43332974416382e-13,0,7.28666666666667e-11,0
235,1,1,0,1,4.44364020687228e-13,4.44364020687228e-13,0,6.38266666666667e-11,0
236,1,1,0,1,2.65640553664866e-13,2.65640553664866e-13,0,5.602e-11,0
237,1,1,0,1,1.58799768807216e-13,1.58799768807216e-13,0,5.20466666666667e-11,0
238,1,1,0,1,9.49304096280406e-14,9.49304096280406e-14,0,5.05133333333333e-11,0
239,1,1,0,1,5.67493437795109e-14,5.67493437795109e-14,0,4.87066666666667e-11,0
240,1,1,0,1,3.3924724774956e-14,3.3924724774956e-14,0,4.484e-11,0
241,1,1,0,1,0,0,0,3.89e-11,0
242,1,1,0,1,0,0,0,3.29133333333333e-11,0
243,1,1,0,1,0,0,0,2.83533333333333e-11,0
244,1,1,0,1,0,0,0,2.51866666666667e-11,0
245,1,1,0,1,0,0,0,2.36533333333333e-11,0
246,1,1,0,1,0,0,0,2.29e-11,0
247,1,1,0,1,0,0,0,2.14666666666667e-11,0
248,1,1,0,1,0,0,0,1.92e-11,0
249,1,1,0,1,0,0,0,1.69066666666667e-11,0
250,1,1,0,1,0,0,0,1.494e-11,0
251,1,1,0,1,0,0,0,1.3e-11,0
252,1,1,0,1,0,0,0,1.13466666666667e-11,0
253,1,1,0,1,0,0,0,1.01333333333333e-11,0
254,1,1,0,1,0,0,0,9.01333333333333e-12,0
255,1,1,0,1,0,0,0,7.94666666666667e-12,0
256,1,1,0,1,0,0,0,7.12666666666667e-12,0
257,1,1,0,1,0,0,0,6.38533333333333e-12,0
258,1,1,0,1,0,0,0,5.72e-12,0
259,1,1,0,1,0,0,0,5.22266666666667e-12,0
260,1,1,0,1,0,0,0,4.70933333333333e-12,0
261,1,1,0,1,0,0,0,4.158e-12,0
262,1,1,0,1,0,0,0,3.79533333333333e-12,0
263,1,1,0,1,0,0,0,3.52866666666667e-12,0
264,1,1,0,1,0,0,0,3.16666666666667e-12,0
265,1,1,0,1,0,0,0,2.738e-12,0
