"doy","Prop_foraging_day","Quality_crop","Quality_nat","Prop_foraging_crop","Concentration_nectar","Concentration_pollen","Concentration_spray","Concentration.nest.mat","Concentration.leaf"
239,1,1,0,1,0,0,0,5.70333333333333e-12,0
240,1,1,0,1,0,0,0,5.54866666666667e-12,0
241,1,1,0,1,0,0,0,4.202e-12,0
242,1,1,0,1,0,0,0,2.99133333333333e-12,0
243,1,1,0,1,0,0,0,2.32533333333333e-12,0
244,1,1,0,1,0,0,0,2.122e-12,0
245,1,1,0,1,0,0,0,2.31733333333333e-12,0
246,1,1,0,1,0,0,0,2.41933333333333e-12,0
247,1,1,0,1,0,0,0,2.40066666666667e-12,0
248,1,1,0,1,0,0,0,2.20866666666667e-12,0
249,1,1,0,1,0,0,0,1.95533333333333e-12,0
250,1,1,0,1,0,0,0,1.72666666666667e-12,0
251,1,1,0,1,0,0,0,1.06466666666667e-12,0
252,1,1,0,1,0,0,0,6.8e-13,0
253,1,1,0,1,0,0,0,5.48e-13,0
254,1,1,0,1,0,0,0,4.64933333333333e-13,0
255,1,1,0,1,0,0,0,4.07733333333333e-13,0
256,1,1,0,1,0,0,0,3.39133333333333e-13,0
257,1,1,0,1,0,0,0,2.77533333333333e-13,0
258,1,1,0,1,0,0,0,2.686e-13,0
259,1,1,0,1,0,0,0,2.84733333333333e-13,0
260,1,1,0,1,0,0,0,2.43266666666667e-13,0
261,1,1,0,1,0,0,0,2.14266666666667e-13,0
262,1,1,0,1,0,0,0,2.27133333333333e-13,0
263,1,1,0,1,0,0,0,2.32666666666667e-13,0
264,1,1,0,1,0,0,0,2.214e-13,0
265,1,1,0,1,0,0,0,1.982e-13,0
266,1,1,0,1,0,0,0,1.748e-13,0
267,1,1,0,1,0,0,0,1.43666666666667e-13,0
268,1,1,0,1,0,0,0,1.19066666666667e-13,0
269,1,1,0,1,0,0,0,1.14933333333333e-13,0
270,1,1,0,1,0,0,0,1.09666666666667e-13,0
271,1,1,0,1,0,0,0,1.02866666666667e-13,0
272,1,1,0,1,0,0,0,9.39333333333333e-14,0
273,1,1,0,1,0,0,0,8.50666666666667e-14,0
274,1,1,0,1,0,0,0,7.86e-14,0
275,1,1,0,1,0,0,0,7.32e-14,0
276,1,1,0,1,0,0,0,6.83333333333333e-14,0
277,1,1,0,1,0,0,0,6.20533333333333e-14,0
278,1,1,0,1,0,0,0,5.15733333333333e-14,0
279,1,1,0,1,0,0,0,3.71533333333333e-14,0
280,1,1,0,1,0,0,0,3.17333333333333e-14,0
281,1,1,0,1,0,0,0,2.61666666666667e-14,0
282,1,1,0,1,0,0,0,2.70333333333333e-14,0
283,1,1,0,1,0,0,0,2.826e-14,0
284,1,1,0,1,0,0,0,2.78266666666667e-14,0
285,1,1,0,1,0,0,0,2.78266666666667e-14,0
286,1,1,0,1,0,0,0,2.732e-14,0
287,1,1,0,1,0,0,0,2.67466666666667e-14,0
288,1,1,0,1,0,0,0,2.642e-14,0
289,1,1,0,1,0,0,0,2.57666666666667e-14,0
290,1,1,0,1,0,0,0,2.12866666666667e-14,0
291,1,1,0,1,0,0,0,1.72733333333333e-14,0
292,1,1,0,1,0,0,0,1.33e-14,0
293,1,1,0,1,0,0,0,1.294e-14,0
294,1,1,0,1,0,0,0,1.37666666666667e-14,0
295,1,1,0,1,0,0,0,1.00466666666667e-14,0
296,1,1,0,1,0,0,0,9.18e-15,0
297,1,1,0,1,0,0,0,9.25333333333333e-15,0
298,1,1,0,1,0,0,0,8.78e-15,0
299,1,1,0,1,0,0,0,9.68666666666667e-15,0
300,1,1,0,1,0,0,0,1.27933333333333e-14,0
301,1,1,0,1,0,0,0,0,0
302,1,1,0,1,0,0,0,7.44666666666667e-15,0
303,1,1,0,1,0,0,0,4.55333333333333e-15,0
304,1,1,0,1,0,0,0,4.55333333333333e-15,0
305,1,1,0,1,0,0,0,4.80666666666667e-15,0
306,1,1,0,1,0,0,0,4.77066666666667e-15,0
307,1,1,0,1,0,0,0,4.87866666666667e-15,0
308,1,1,0,1,0,0,0,4.87866666666667e-15,0
309,1,1,0,1,0,0,0,5.05933333333333e-15,0
310,1,1,0,1,0,0,0,4.77066666666667e-15,0
311,1,1,0,1,0,0,0,5.49333333333333e-15,0
