date,treatment,tray,tube.1,tube.2,tube.3,tube.4,tube.5,tube.6,tube.7,tube.8,tube.9,tube.10,sum.cells
2015-05-14T00:00:00Z,Csa,4,4,5,2,1,0,0,6,3,1,1,23
2015-05-14T00:00:00Z,Csa,5,0,0,0,2,0,3,5,2,1,0,13
2015-05-14T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,8,0,8
2015-05-14T00:00:00Z,Csa,7,5,0,3,4,6,4,4,0,0,0,26
2015-05-14T00:00:00Z,Csa,8,5,4,5,1,2,2,0,3,6,4,32
2015-05-14T00:00:00Z,Csa,9,1,0,1,0,0,2,3,3,6,0,16
2015-05-14T00:00:00Z,Csa,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-17T00:00:00Z,Csa,1,0,1,0,2,0,2,0,0,1,0,6
2015-05-17T00:00:00Z,Csa,2,0,0,0,0,0,0,0,0,0,0,0
2015-05-17T00:00:00Z,Csa,3,0,0,0,0,1,0,0,1,0,0,2
2015-05-17T00:00:00Z,Csa,4,2,0,1,0,0,1,0,0,1,0,5
2015-05-17T00:00:00Z,Csa,5,0,0,0,2,0,1,0,1,0,0,4
2015-05-17T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-17T00:00:00Z,Csa,7,0,0,0,3,0,3,1,1,2,0,10
2015-05-17T00:00:00Z,Csa,8,0,0,1,0,0,3,3,0,0,0,7
2015-05-17T00:00:00Z,Csa,9,0,0,0,0,3,0,1,2,0,0,6
2015-05-17T00:00:00Z,Csa,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-20T00:00:00Z,Csa,1,1,0,0,1,2,2,0,1,1,0,8
2015-05-20T00:00:00Z,Csa,2,0,0,1,1,0,0,2,0,0,1,5
2015-05-20T00:00:00Z,Csa,3,0,0,0,0,0,0,0,1,0,0,1
2015-05-20T00:00:00Z,Csa,4,1,0,0,0,0,0,0,0,0,0,1
2015-05-20T00:00:00Z,Csa,5,0,0,0,2,0,0,0,1,0,0,3
2015-05-20T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-20T00:00:00Z,Csa,7,0,0,0,2,0,1,0,0,2,0,5
2015-05-20T00:00:00Z,Csa,8,0,0,0,1,0,2,2,0,0,2,7
2015-05-20T00:00:00Z,Csa,9,0,0,0,0,0,0,0,2,0,0,2
2015-05-20T00:00:00Z,Csa,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-23T00:00:00Z,Csa,1,0,0,0,0,2,0,1,0,0,0,3
2015-05-23T00:00:00Z,Csa,2,0,0,0,1,0,0,1,0,0,1,3
2015-05-23T00:00:00Z,Csa,3,0,0,0,0,0,0,0,0,0,0,0
2015-05-23T00:00:00Z,Csa,4,1,0,0,0,1,0,0,0,0,0,2
2015-05-23T00:00:00Z,Csa,5,0,0,0,0,0,0,0,2,0,0,2
2015-05-23T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-23T00:00:00Z,Csa,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-23T00:00:00Z,Csa,8,0,0,0,0,0,0,0,0,0,1,1
2015-05-23T00:00:00Z,Csa,9,0,0,0,0,0,0,0,0,0,0,0
2015-05-23T00:00:00Z,Csa,10,1,0,0,0,0,0,1,0,0,0,2
2015-05-26T00:00:00Z,Csa,1,0,0,0,1,0,0,0,0,0,0,1
2015-05-26T00:00:00Z,Csa,2,0,0,2,0,0,0,1,0,0,1,4
2015-05-26T00:00:00Z,Csa,3,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csa,4,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csa,5,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csa,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csa,8,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csa,9,0,0,0,0,0,0,0,0,0,0,0
2015-05-26T00:00:00Z,Csa,10,1,0,0,0,0,0,0,0,0,0,1
2015-05-29T00:00:00Z,Csa,1,0,0,0,0,0,0,0,0,0,1,1
2015-05-29T00:00:00Z,Csa,2,0,0,0,2,0,0,0,0,0,0,2
2015-05-29T00:00:00Z,Csa,3,0,0,0,0,0,0,0,2,0,0,2
2015-05-29T00:00:00Z,Csa,4,0,0,0,0,1,0,0,0,0,0,1
2015-05-29T00:00:00Z,Csa,5,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csa,6,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csa,7,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csa,8,0,2,0,0,0,0,0,0,0,0,2
2015-05-29T00:00:00Z,Csa,9,0,0,0,0,0,0,0,0,0,0,0
2015-05-29T00:00:00Z,Csa,10,0,0,0,0,0,0,1,0,1,0,2
2015-04-26T00:00:00Z,Csb,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csb,2,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csb,3,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csb,4,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csb,5,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csb,7,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csb,8,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csb,9,0,0,0,0,0,0,0,0,0,0,0
2015-04-26T00:00:00Z,Csb,10,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csb,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csb,2,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csb,3,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csb,4,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csb,5,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csb,7,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csb,8,0,0,0,0,0,0,0,0,0,0,0
2015-04-29T00:00:00Z,Csb,9,1,0,0,0,0,0,0,0,0,0,1
2015-04-29T00:00:00Z,Csb,10,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csb,1,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csb,2,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csb,3,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csb,4,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csb,5,0,0,0,0,0,0,0,0,0,0,0
2015-05-02T00:00:00Z,Csb,6,0,0,0,0,0,0,0,0,0,0,0
