Study: S14-01570,,,,,
Tuebingen 2014,,,,,
,,,,,
Date,DAE,BBCH control,% of flowers open,Proportional resource availability,Remark
2014-04-14,-1,63,30,0.6,
2014-04-18,3,65,50,1,
2014-04-20,5,65,50,1,
2014-04-21,6,65,50,1,
2014-04-22,7,65,50,1,
2014-04-27,12,65,50,1,
2014-04-30,15,67,20,0.4,
2014-05-02,17,67,20,0.4,
2014-05-03,18,67,20,0.4,
2014-05-05,20,67,20,0.4,
2014-05-06,21,65-67,40,0.8,
2014-05-09,24,69,5,0.1,
2014-05-12,27,67,20,0.4,
2014-05-15,30,69,5,0.1,
2014-05-16,31,69,5,0.1,
2014-05-18,33,67-69,10,0.2,
2014-05-21,36,67,20,0.4,
2014-05-24,39,65-69,30,0.6,
2014-05-27,42,65-69,30,0.6,
2014-05-30,45,65-67,40,0.8,
2014-06-02,48,65,50,1,
2014-06-05,51,66,40,0.8,Last day in tunnel: not reported in the study 
