name,var.emerge.f,t.maturation,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,a.sex.age,overall.avg.x,BroodCells.RMSE,BroodCells.NRMSE,overall.avg.y,BroodCells.MAE,BroodCells.NMAE,overall.avg.x.x,BroodCells.RSR,overall.avg.y.y,Nesting.RMSE,Nesting.NRMSE,overall.avg.x.x.x,Nesting.MAE,Nesting.NMAE,overall.avg.y.y.y,Nesting.RSR,Offspring.RMSE,Offspring.NRMSE,Offspring.MAE,Offspring.NMAE,Avg.NRMSE,Avg.NMAE,Avg.RSR
Nie2015_SceA_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,2058.5306780327764,1.1543904403387282,1783.21875,1568.5345833333333,0.8796086197127152,1783.21875,2.0177931108701004,25.4625,12.438832240206473,0.488515748,25.4625,9.7745,0.38387825233186057,25.4625,1.0038609638337148,0.031578492,0.091230853,0.031578492,0.091230853,0.57804568,0.45157257486327784,1.5108270373519077
Nie2015_SceB_1200m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,2029.7986186324208,1.1382779698970868,1783.21875,1540.62625,0.8639580814187827,1783.21875,1.9704668624943331,25.4625,12.89685959836735,0.5065040588460422,25.4625,10.2405,0.40217967599410903,25.4625,1.053167231932815,0.069054418,0.19949950470289055,0.069054418,0.19949950470289055,0.6147605111486732,0.4885457540385941,1.5118170472135741
Nie2015_SceB_1200m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,2065.4867414087694,1.1582912872628608,1783.21875,1577.3679166666666,0.8845622090204394,1783.21875,2.042235391979383,25.4625,12.104446600320067,0.47538327345390546,25.4625,9.5805,0.376259205,25.4625,0.9881349038951691,0.072098537,0.20829402121897603,0.072098537,0.20829402121897603,0.6139895273119141,0.48970514498407614,1.515185147937276
Nie2015_SceB_400m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,2042.9683379587857,1.1456633337658577,1783.21875,1554.22125,0.8715819357552179,1783.21875,1.9974541184413899,25.4625,12.464562066113675,0.48952624707368386,25.4625,9.8125,0.3853706431026019,25.4625,1.0087048,0.076152811,0.22000689565825202,0.076152811,0.22000689565825202,0.6183988254992645,0.49231982483869063,1.5030794594037449
Nie2015_SceB_400m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,2080.6686011156967,1.166805026649533,1783.21875,1592.9979166666667,0.8933272581766352,1783.21875,2.073882289421846,25.4625,12.354737856385299,0.48521307241572115,25.4625,9.7985,0.38482081492390774,25.4625,1.0099720313214824,0.075746438,0.21883287657289163,0.075746438,0.21883287657289163,0.6236169918793819,0.49899364989114486,1.5419271603716642
Nie2015_SceB_800m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,2029.3348153402592,1.138017876573056,1783.21875,1540.2645833333333,0.8637552646490136,1783.21875,1.9701656804598435,25.4625,12.162371787607876,0.4776581948986893,25.4625,9.5765,0.37610211094747176,25.4625,0.9861383003458155,0.070461447,0.20356443780502376,0.070461447,0.20356443780502376,0.6064135030922564,0.4811406044671697,1.4781519904028295
Nie2015_SceB_800m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,2065.4460137708957,1.1582684478675966,1783.21875,1577.3395833333334,0.8845463201490751,1783.21875,2.0422168086837784,25.4625,12.167005691623554,0.47784018425620245,25.4625,9.6205,0.37783014236622486,25.4625,0.9928201161938515,0.073021626,0.21096084243752242,0.073021626,0.21096084243752242,0.6156898248537739,0.49111243498427415,1.517518462438815
Nie2015_SceC_1200m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,1941.367847086709,1.088687435059052,1783.21875,1451.36625,0.8139025287839756,1783.21875,1.8154951218461672,25.4625,12.12152826585823,0.47605412924332763,25.4625,9.5845,0.37641629847815417,25.4625,0.9884468802969183,0.10504889808581969,0.3034882301007384,0.10504889808581969,0.3034882301007384,0.6227432648010394,0.4979356857876227,1.4019710010715427
Nie2015_SceC_1200m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,2079.7205047318457,1.1662733496559778,1783.21875,1599.29625,0.8968592608169919,1783.21875,2.091941731818782,25.4625,11.91782310239584,0.4680539264563904,25.4625,9.4625,0.3716249386352479,25.4625,0.9846043374640799,0.1480794868334796,0.42780440530279795,0.1480794868334796,0.42780440530279795,0.6873772271383887,0.5654295349183459,1.5382730346414308
Nie2015_SceC_400m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,2000.6942211147816,1.121956698310166,1783.21875,1515.6145833333333,0.849931947,1783.21875,1.944386758213311,25.4625,12.202588557351264,0.4792376458459014,25.4625,9.5485,0.3750024545900835,25.4625,0.9800711231713954,0.1377706912104691,0.39802210206015193,0.1377706912104691,0.39802210206015193,0.6664054820720732,0.5409855010707408,1.4622289406923532
Nie2015_SceC_400m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1783.21875,2140.454100442727,1.2003317598823626,1783.21875,1670.6520833333334,0.9368744487087372,1783.21875,2.219095161204095,25.4625,12.251189636112894,0.4811463774614784,25.4625,9.6385,0.37853706431026024,25.4625,0.9945570981431318,0.19324163621404347,0.5582786990155718,0.19324163621404347,0.5582786990155718,0.7465856121198042,0.6245634040115231,1.6068261296736133
