name,var.emerge.f,t.maturation,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,a.sex.age,overall.avg.x,BroodCells.RMSE,BroodCells.NRMSE,overall.avg.y,BroodCells.MAE,BroodCells.NMAE,overall.avg.x.x,BroodCells.RSR,overall.avg.y.y,Nesting.RMSE,Nesting.NRMSE,overall.avg.x.x.x,Nesting.MAE,Nesting.NMAE,overall.avg.y.y.y,Nesting.RSR,Avg.NRMSE,Avg.NMAE,Avg.RSR
Kra2014_SceA_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2193.633698,0.9025442081817363,2430.5,1870.8999999999999,0.7697593087842007,2430.5,11.454368887266844,38.291666666666664,37.28034494803454,0.9735889866733721,38.291666666666664,29.559444444444445,0.7719550235763512,38.291666666666664,2.476305870601258,0.9380665974275542,0.7708571661802759,6.965337378934051
Kra2014_SceB_1200m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2160.7909758661563,0.8890314650755632,2430.5,1841.283846153846,0.7575740983969743,2430.5,11.350735244822792,38.291666666666664,37.065495897277714,0.9679781300703647,38.291666666666664,29.315,0.7655712731229598,38.291666666666664,2.41183129,0.9285047975729639,0.7615726857599671,6.881283267628276
Kra2014_SceB_1200m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2225.3238981187574,0.9155827599748024,2430.5,1890.3707692307692,0.7777703226623202,2430.5,11.529463986676173,38.291666666666664,37.61005816,0.9821995602875571,38.291666666666664,30.252777777777776,0.7900616612259703,38.291666666666664,2.6002477065875906,0.9488911601311798,0.7839159919441452,7.0648558466318825
Kra2014_SceB_400m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2161.083457467217,0.8891518031134406,2430.5,1841.8776923076923,0.757818429,2430.5,11.351396168534663,38.291666666666664,37.185128262369744,0.97110237,38.291666666666664,29.550555555555555,0.7717228871962278,38.291666666666664,2.4375269836083757,0.9301270867019182,0.7647706582263164,6.894461576071519
Kra2014_SceB_400m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2216.7479031437715,0.9120542699624651,2430.5,1883.5523076923077,0.7749649486493757,2430.5,11.503281847725994,38.291666666666664,37.22645545994288,0.9721816442204888,38.291666666666664,29.81277777777778,0.7785709104098659,38.291666666666664,2.563832952233423,0.9421179570914769,0.7767679295296208,7.033557399979708
Kra2014_SceB_800m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2161.6367380511247,0.8893794437568915,2430.5,1842.406923076923,0.7580361748927887,2430.5,11.353130238767463,38.291666666666664,37.25187195,0.9728454046086348,38.291666666666664,29.503888888888888,0.7705041712005803,38.291666666666664,2.423975723991214,0.9311124241827631,0.7642701730466845,6.8885529813793385
Kra2014_SceB_800m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2216.7479031437715,0.9120542699624651,2430.5,1883.5523076923077,0.7749649486493757,2430.5,11.503281847725994,38.291666666666664,37.22645545994288,0.9721816442204888,38.291666666666664,29.81277777777778,0.7785709104098659,38.291666666666664,2.563832952233423,0.9421179570914769,0.7767679295296208,7.033557399979708
Kra2014_SceC_1200m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2114.1102557013287,0.8698252440655538,2430.5,1823.71,0.7503435507097306,2430.5,11.223117965589397,38.291666666666664,37.37473281212559,0.9760539580968599,38.291666666666664,29.874999999999996,0.780195865,38.291666666666664,2.532725969615095,0.9229396010812069,0.7652697078902297,6.877921967602246
Kra2014_SceC_1200m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2305.962401,0.9487605025020983,2430.5,1945.686153846154,0.8005291725349327,2430.5,11.790968309534726,38.291666666666664,37.61630213233501,0.9823626236953648,38.291666666666664,29.801666666666666,0.7782807399347117,38.291666666666664,2.483817461,0.9655615630987315,0.7894049562348222,7.137392885382778
Kra2014_SceC_400m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2115.728593958192,0.8704910898819963,2430.5,1823.7207692307693,0.7503479815802383,2430.5,11.232079219682166,38.291666666666664,37.54619062642115,0.980531638,38.291666666666664,29.74611111111111,0.7768298875589409,38.291666666666664,2.487474739190732,0.9255113637843646,0.7635889345695897,6.859776979436449
Kra2014_SceC_400m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2275.238674,0.9361195944358816,2430.5,1920.5815384615385,0.7902001803997278,2430.5,11.72020731040187,38.291666666666664,37.76597274296297,0.9862713229935923,38.291666666666664,30.099444444444444,0.7860573086688429,38.291666666666664,2.547446441842306,0.9611954587147369,0.7881287445342854,7.133826876122088
Kra2014_SceC_800m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2116.802544764881,0.8709329540279288,2430.5,1824.5284615384614,0.7506802968683239,2430.5,11.232916093029221,38.291666666666664,37.50769887636403,0.979526412,38.291666666666664,29.72388888888889,0.7762495466086327,38.291666666666664,2.475984967994064,0.9252296832341694,0.7634649217384784,6.8544505305116425
Kra2014_SceC_800m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2430.5,2275.238674,0.9361195944358816,2430.5,1920.5815384615385,0.7902001803997278,2430.5,11.72020731040187,38.291666666666664,37.76597274296297,0.9862713229935923,38.291666666666664,30.099444444444444,0.7860573086688429,38.291666666666664,2.547446441842306,0.9611954587147369,0.7881287445342854,7.133826876122088
