name,var.emerge.f,t.maturation,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,a.sex.age,overall.avg.x,BroodCells.RMSE,BroodCells.NRMSE,overall.avg.y,BroodCells.MAE,BroodCells.NMAE,overall.avg.x.x,BroodCells.RSR,overall.avg.y.y,Nesting.RMSE,Nesting.NRMSE,overall.avg.x.x.x,Nesting.MAE,Nesting.NMAE,overall.avg.y.y.y,Nesting.RSR,Offspring.RMSE,Offspring.NRMSE,Offspring.MAE,Offspring.NMAE,Avg.NRMSE,Avg.NMAE,Avg.RSR
Tue2015_SceA_W4,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2536.548513712416,1.1812322084928883,2147.375,1948.3183333333334,0.9073023264838854,2147.375,1.8811591243661796,25.6875,8.0762805486189,0.3144050821846774,25.6875,6.7965,0.2645839416058394,25.6875,2.6544781788479126,0.04416388639699492,0.15498677804184496,0.04416388639699492,0.15498677804184496,0.5502080229064702,0.44229101537718996,2.267818651607046
Tue2015_SceA_W8,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2537.4583275165987,1.1816558949957967,2147.375,1948.6433333333334,0.9074536740594137,2147.375,1.8805505954836201,25.6875,8.099700457424337,0.3153168061284413,25.6875,6.8725000000000005,0.26754257907542583,25.6875,2.6935546693381536,0.04574154393485591,0.16052333921421366,0.04574154393485591,0.16052333921421366,0.5524986801128172,0.4451731974496844,2.287052632410887
Tue2015_SceC_1200m_dist_W4,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2426.578848667399,1.1300210017660628,2147.375,1852.7016666666666,0.862775093622058,2147.375,1.768665415261898,25.6875,8.168735979329972,0.3180043203632106,25.6875,6.9265,0.26964476885644767,25.6875,2.6882224078029733,0.007926578832645803,0.02781718309668631,0.007926578832645803,0.02781718309668631,0.49194750174198654,0.3867456818583973,2.2284439115324357
Tue2015_SceC_1200m_dist_W8,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2440.2943133496556,1.1364080858488412,2147.375,1862.4383333333333,0.867309311756602,2147.375,1.7745849491066754,25.6875,8.190281283325989,0.31884306699079273,25.6875,6.9245,0.2695669099756691,25.6875,2.7069362891780404,0.008876932888795763,0.031152313339474526,0.008876932888795763,0.031152313339474526,0.49546782205970286,0.3893428450239152,2.2407606191423577
