name,var.emerge.f,t.maturation,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,a.sex.age,overall.avg.x,BroodCells.RMSE,BroodCells.NRMSE,overall.avg.y,BroodCells.MAE,BroodCells.NMAE,overall.avg.x.x,BroodCells.RSR,overall.avg.y.y,Nesting.RMSE,Nesting.NRMSE,overall.avg.x.x.x,Nesting.MAE,Nesting.NMAE,overall.avg.y.y.y,Nesting.RSR,Avg.NRMSE,Avg.NMAE,Avg.RSR
Tue2014_SceA_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1155.1347032170702,0.7294211936488211,1583.6319444444443,951.0341666666667,0.6005398981770982,1583.6319444444443,6.458274395877475,11.6875,29.940169713947853,2.5617257509260196,11.6875,19.7325,1.688342245989305,11.6875,6.665363035536284,1.6455734722874205,1.1444410720832017,6.561818715706879
Tue2014_SceB_1200m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1120.8642642813872,0.7077807872046928,1583.6319444444443,915.0802777777778,0.5778364606675057,1583.6319444444443,5.539667888750397,11.6875,30.203153519127763,2.5842270390697553,11.6875,20.0045,1.711614973262032,11.6875,6.752348497876778,1.646003913137224,1.1447257169647689,6.1460081933135875
Tue2014_SceB_1200m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1175.4349799961763,0.7422400035056959,1583.6319444444443,965.6630555555555,0.609777454,1583.6319444444443,6.5515840323463985,11.6875,30.186779598029336,2.5828260618634724,11.6875,19.9465,1.7066524064171122,11.6875,6.759618400879906,1.6625330326845842,1.1582149303345806,6.655601216613152
Tue2014_SceB_400m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1119.862997507954,0.7071485274318677,1583.6319444444443,914.0102777777778,0.5771607986213126,1583.6319444444443,5.566263082519022,11.6875,29.932741646898965,2.561090194387077,11.6875,19.6525,1.6814973262032085,11.6875,6.469091281069134,1.6341193609094724,1.1293290624122605,6.0176771817940775
Tue2014_SceB_400m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1175.6507170540585,0.7423762327972551,1583.6319444444443,965.7375,0.6098244629302368,1583.6319444444443,6.551595042002667,11.6875,30.18537597082402,2.5827059654180977,11.6875,19.9325,1.7054545454545456,11.6875,6.7552733146083375,1.6625410991076763,1.1576395041923913,6.653434178305503
Tue2014_SceB_800m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1120.7284064833063,0.7076949984590456,1583.6319444444443,914.9869444444445,0.5777775244142552,1583.6319444444443,5.539521783,11.6875,30.19943679110589,2.5839090302550494,11.6875,19.9465,1.7066524064171122,11.6875,6.721260725933791,1.6458020143570475,1.1422149654156837,6.130391254360066
Tue2014_SceB_800m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1174.478879,0.7416362642285674,1583.6319444444443,964.9919444444445,0.6093536745262955,1583.6319444444443,6.552020176483528,11.6875,30.075744753871017,2.573325754341905,11.6875,19.8145,1.6953582887700533,11.6875,6.712564741188549,1.6574810092852363,1.1523559816481743,6.632292458836039
Tue2014_SceC_1200m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1190.8864928366738,0.7519970135828815,1583.6319444444443,1000.1363888888889,0.6315459803633525,1583.6319444444443,6.860367698895402,11.6875,29.995363683409476,2.5664482295965327,11.6875,19.7825,1.692620320855615,11.6875,6.524748526517289,1.659222621589707,1.1620831506094838,6.692558112706346
Tue2014_SceC_1200m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1262.8393852957574,0.7974323767122389,1583.6319444444443,1065.3141666666666,0.6727031305499401,1583.6319444444443,7.314098955032675,11.6875,30.558267334716476,2.6146111088527464,11.6875,20.2465,1.7323208556149734,11.6875,6.834456120152391,1.7060217427824926,1.2025119930824568,7.074277537592533
Tue2014_SceC_400m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1171.6169765702014,0.739829088,1583.6319444444443,978.4586111,0.6178573339238652,1583.6319444444443,6.670622389533264,11.6875,29.458729139255144,2.5205329744817235,11.6875,19.1925,1.642139037433155,11.6875,6.276352558149218,1.6301810310464357,1.1299981856785102,6.4734874738412405
Tue2014_SceC_400m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1263.3555587353467,0.7977583195182046,1583.6319444444443,1065.4541666666667,0.6727915349298159,1583.6319444444443,7.314213368,11.6875,30.55493319416686,2.6143258347950256,11.6875,20.1805,1.7266737967914436,11.6875,6.81446598,1.7060420771566152,1.1997326658606298,7.0643396740379245
Tue2014_SceC_800m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1189.4220843328121,0.7510722983995342,1583.6319444444443,999.4586111,0.631117991,1583.6319444444443,6.859318144316358,11.6875,29.99928469980576,2.566783717630439,11.6875,19.7945,1.6936470588235293,11.6875,6.53283512,1.6589280080149866,1.1623825248643767,6.696076631955243
Tue2014_SceC_800m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,1583.6319444444443,1262.8145581855151,0.797416699,1583.6319444444443,1066.3008333333332,0.6733261709414452,1583.6319444444443,7.330511221768759,11.6875,29.48613712407917,2.522878042701961,11.6875,19.3285,1.6537754010695185,11.6875,6.465892964562424,1.6601473710453676,1.163550786005482,6.898202093165592
