name,var.emerge.f,t.maturation,p.max.nesting.life,max.f.ratio,max.cells,max.survival.e.f,a.sex.age,overall.avg.x,BroodCells.RMSE,BroodCells.NRMSE,overall.avg.y,BroodCells.MAE,BroodCells.NMAE,overall.avg.x.x,BroodCells.RSR,overall.avg.y.y,Nesting.RMSE,Nesting.NRMSE,overall.avg.x.x.x,Nesting.MAE,Nesting.NMAE,overall.avg.y.y.y,Nesting.RSR,Offspring.RMSE,Offspring.NRMSE,Offspring.MAE,Offspring.NMAE,Avg.NRMSE,Avg.NMAE,Avg.RSR
Tue2015_SceA_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2523.802431514136,1.1752965511446003,2147.375,1935.8833333333332,0.9015115354017501,2147.375,1.8657020928784134,25.6875,8.328143100355565,0.32420995037880546,25.6875,7.1885,0.2798442822384428,25.6875,2.776912003583955,0.034665646430280916,0.12165407728547648,0.034665646430280916,0.12165407728547648,0.5403868596029607,0.4343366316418898,2.3213070482311844
Tue2015_SceB_1200m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2471.6574799211157,1.1510134372995475,2147.375,1890.4466666666667,0.8803523682014863,2147.375,1.8133216254655804,25.6875,8.058613249188722,0.31371730410467047,25.6875,6.8265,0.26575182481751825,25.6875,2.619727859808554,0.002491503,0.008743571,0.002491503,0.008743571,0.4911581041746756,0.3849492547129378,2.216524742637067
Tue2015_SceB_1200m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2517.601339112291,1.172408796373382,2147.375,1935.5733333333333,0.9013671730989385,2147.375,1.8683915349033464,25.6875,8.001975225,0.3115124175145658,25.6875,6.6285,0.25804379562043794,25.6875,2.596372223325698,0.002735184,0.009598733,0.002735184,0.009598733,0.4978399823429326,0.38966990062007545,2.2323818791145222
Tue2015_SceB_400m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2476.046447295904,1.1530573129033839,2147.375,1894.7066666666667,0.882336186,2147.375,1.8199528613067322,25.6875,7.807272731242326,0.3039327583938618,25.6875,6.3005,0.2452749391727494,25.6875,2.4819186944928022,0.009115286,0.031988779,0.009115286,0.031988779,0.49632628355148206,0.3865333013943253,2.1509357778997673
Tue2015_SceB_400m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2512.514654278989,1.1700400043210846,2147.375,1930.4783333333332,0.8989945087995033,2147.375,1.8622604626427355,25.6875,8.019045298537726,0.31217694592847595,25.6875,6.6605,0.25928953771289537,25.6875,2.574995096675377,0.006210992,0.021796579,0.006210992,0.021796579,0.5013378430993494,0.39336020852029535,2.218627779659056
Tue2015_SceB_800m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2472.7941043887986,1.1515427460917624,2147.375,1891.3799999999999,0.880787007,2147.375,1.814394957407204,25.6875,8.034087844926765,0.3127625438414312,25.6875,6.7825,0.26403892944038926,25.6875,2.6140312919213735,0.002041423,0.00716408,0.002041423,0.00716408,0.49048979,0.38399667219604383,2.2142131246642887
Tue2015_SceB_800m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2512.1934412149344,1.1698904202642455,2147.375,1929.6616666666666,0.8986141995071502,2147.375,1.859849689,25.6875,8.049945807271003,0.31337988544120693,25.6875,6.7204999999999995,0.261625304,25.6875,2.621123839420328,0.003861719,0.013552144236290049,0.003861719,0.013552144236290049,0.4989408166472475,0.3912638826265644,2.240486764037304
Tue2015_SceC_1200m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2351.2328425246756,1.094933508364713,2147.375,1785.51,0.8314849525583561,2147.375,1.6934442260606364,25.6875,8.050421572812196,0.3133984067274821,25.6875,6.7765,0.26380535279805356,25.6875,2.6260512901494035,0.03709929,0.13019459617356868,0.03709929,0.13019459617356868,0.5128421704219213,0.40849496717665945,2.159747758
Tue2015_SceC_1200m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2504.614639107848,1.1663610869586578,2147.375,1939.0816666666667,0.903000951,2147.375,1.8727097340500736,25.6875,7.985825411314726,0.31088371430908907,25.6875,6.7205,0.26162530413625307,25.6875,2.568044395,0.069227127,0.24294259965700124,0.069227127,0.24294259965700124,0.5733958003082493,0.46918961818882843,2.2203770644478267
Tue2015_SceC_400m_dist_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2393.4723012741692,1.1146037842827494,2147.375,1828.23,0.8513790092554864,2147.375,1.7446126666165178,25.6875,8.446548851454066,0.3288194200079442,25.6875,7.4145,0.2886423357664234,25.6875,2.830755154442564,0.049111552,0.17234989634833034,0.049111552,0.17234989634833034,0.5385910335463413,0.4374570804567467,2.287683910529541
Tue2015_SceC_400m_prop_IT,3,7,0.09,0.457,1.543,0.913,-0.058,2147.375,2492.3752317852677,1.1606613804227337,2147.375,1929.025,0.8983177134873974,2147.375,1.8625013023555963,25.6875,8.159898743244305,0.3176602917078075,25.6875,7.046499999999999,0.27431630170316296,25.6875,2.690532743151969,0.072888704,0.2557923741918169,0.072888704,0.2557923741918169,0.578038015,0.47614212979412573,2.2765170227537825
