treatment,female.mean.weight.g,male.mean.weight.g,female.num,male.num,female.unhatched,male.unhatched
Ca,0.084,0.046,55,183,12,26
Cb,0.073,0.045,36,90,26,51
Cc,0.079,0.046,99,222,5,31
Cd,0.081,0.047,63,202,12,33
Ce,0.079,0.044,28,137,7,12
Cf,0.082,0.047,88,183,7,7
Cg,0.076,0.043,94,141,19,17
Ch,0.071,0.043,18,49,8,8
