treatment,sum.total.cocoons,sum.female.cocoons,sum.male.cocoons
Ca,1798,911,887
Cb,1181,598,583
Cc,1020,579,441
Cd,642,345,297
Ce,526,209,317
Cf,1360,730,630
Cg,1034,715,319
Ch,1468,976,492
