"Date","DAE","treatment","sum.cells"
"07 Apr 2014",-1,"Ca",0
"11 Apr 2014",3,"Ca",46
"14 Apr 2014",6,"Ca",167
"17 Apr 2014",9,"Ca",190
"20 Apr 2014",12,"Ca",250
"23 Apr 2014",15,"Ca",397
"26 Apr 2014",18,"Ca",706
"29 Apr 2014",21,"Ca",813
"02 May 2014",24,"Ca",949
"05 May 2014",27,"Ca",1049
"08 May 2014",30,"Ca",1395
"11 May 2014",33,"Ca",1666
"20 May 2014",42,"Ca",2195
"07 Apr 2014",-1,"Cb",0
"11 Apr 2014",3,"Cb",23
"14 Apr 2014",6,"Cb",112
"17 Apr 2014",9,"Cb",132
"20 Apr 2014",12,"Cb",180
"23 Apr 2014",15,"Cb",287
"26 Apr 2014",18,"Cb",432
"29 Apr 2014",21,"Cb",484
"02 May 2014",24,"Cb",535
"05 May 2014",27,"Cb",569
"08 May 2014",30,"Cb",713
"11 May 2014",33,"Cb",827
"20 May 2014",42,"Cb",1225
"07 Apr 2014",-1,"Cc",0
"11 Apr 2014",3,"Cc",24
"14 Apr 2014",6,"Cc",102
"17 Apr 2014",9,"Cc",115
"20 Apr 2014",12,"Cc",157
"23 Apr 2014",15,"Cc",246
"26 Apr 2014",18,"Cc",338
"29 Apr 2014",21,"Cc",385
"02 May 2014",24,"Cc",343
"05 May 2014",27,"Cc",454
"08 May 2014",30,"Cc",495
"11 May 2014",33,"Cc",716
"20 May 2014",42,"Cc",1093
"07 Apr 2014",-1,"Cd",0
"11 Apr 2014",3,"Cd",7
"14 Apr 2014",6,"Cd",23
"17 Apr 2014",9,"Cd",24
"20 Apr 2014",12,"Cd",32
"23 Apr 2014",15,"Cd",45
"26 Apr 2014",18,"Cd",74
"29 Apr 2014",21,"Cd",82
"02 May 2014",24,"Cd",104
"05 May 2014",27,"Cd",117
"08 May 2014",30,"Cd",206
"11 May 2014",33,"Cd",292
"20 May 2014",42,"Cd",642
"07 Apr 2014",-1,"Ce",0
"11 Apr 2014",3,"Ce",7
"14 Apr 2014",6,"Ce",29
"17 Apr 2014",9,"Ce",35
"20 Apr 2014",12,"Ce",50
"23 Apr 2014",15,"Ce",80
"26 Apr 2014",18,"Ce",138
"29 Apr 2014",21,"Ce",154
"02 May 2014",24,"Ce",178
"05 May 2014",27,"Ce",196
"08 May 2014",30,"Ce",270
"11 May 2014",33,"Ce",357
"20 May 2014",42,"Ce",599
"07 Apr 2014",-1,"Cf",0
"11 Apr 2014",3,"Cf",20
"14 Apr 2014",6,"Cf",74
"17 Apr 2014",9,"Cf",83
"20 Apr 2014",12,"Cf",99
"23 Apr 2014",15,"Cf",136
"26 Apr 2014",18,"Cf",221
"29 Apr 2014",21,"Cf",259
"02 May 2014",24,"Cf",303
"05 May 2014",27,"Cf",314
"08 May 2014",30,"Cf",494
"11 May 2014",33,"Cf",684
"20 May 2014",42,"Cf",1247
"07 Apr 2014",-1,"Cg",0
"11 Apr 2014",3,"Cg",14
"14 Apr 2014",6,"Cg",89
"17 Apr 2014",9,"Cg",103
"20 Apr 2014",12,"Cg",140
"23 Apr 2014",15,"Cg",224
"26 Apr 2014",18,"Cg",363
"29 Apr 2014",21,"Cg",408
"02 May 2014",24,"Cg",385
"05 May 2014",27,"Cg",515
"08 May 2014",30,"Cg",667
"11 May 2014",33,"Cg",722
"20 May 2014",42,"Cg",1123
"07 Apr 2014",-1,"Ch",0
"11 Apr 2014",3,"Ch",16
"14 Apr 2014",6,"Ch",82
"17 Apr 2014",9,"Ch",98
"20 Apr 2014",12,"Ch",123
"23 Apr 2014",15,"Ch",175
"26 Apr 2014",18,"Ch",292
"29 Apr 2014",21,"Ch",344
"02 May 2014",24,"Ch",426
"05 May 2014",27,"Ch",486
"08 May 2014",30,"Ch",694
"11 May 2014",33,"Ch",932
"20 May 2014",42,"Ch",1562
