"Date","DAE","treatment","sum.cells"
"14 Apr 2014","-1DAE","Ca",0
"18 Apr 2014","3DAE","Ca",0
"21 Apr 2014","6DAE","Ca",0
"24 Apr 2014","9DAE","Ca",2
"27 Apr 2014","12DAE","Ca",66
"30 Apr 2014","15DAE","Ca",78
"03 May 2014","18DAE","Ca",75
"06 May 2014","21DAE","Ca",140
"09 May 2014","24DAE","Ca",185
"12 May 2014","27DAE","Ca",217
"15 May 2014","30DAE","Ca",220
"18 May 2014","33DAE","Ca",244
"21 May 2014","36DAE","Ca",342
"24 May 2014","39DAE","Ca",404
"27 May 2014","42DAE","Ca",413
"30 May 2014","45DAE","Ca",421
"02 Jun 2014","48DAE","Ca",441
"05 Jun 2014","51DAE","Ca",450
"14 Apr 2014","-1DAE","Cb",0
"18 Apr 2014","3DAE","Cb",0
"21 Apr 2014","6DAE","Cb",0
"24 Apr 2014","9DAE","Cb",16
"27 Apr 2014","12DAE","Cb",93
"30 Apr 2014","15DAE","Cb",114
"03 May 2014","18DAE","Cb",112
"06 May 2014","21DAE","Cb",180
"09 May 2014","24DAE","Cb",237
"12 May 2014","27DAE","Cb",265
"15 May 2014","30DAE","Cb",282
"18 May 2014","33DAE","Cb",317
"21 May 2014","36DAE","Cb",439
"24 May 2014","39DAE","Cb",547
"27 May 2014","42DAE","Cb",601
"30 May 2014","45DAE","Cb",589
"02 Jun 2014","48DAE","Cb",623
"05 Jun 2014","51DAE","Cb",641
"14 Apr 2014","-1DAE","Cc",0
"18 Apr 2014","3DAE","Cc",0
"21 Apr 2014","6DAE","Cc",0
"24 Apr 2014","9DAE","Cc",0
"27 Apr 2014","12DAE","Cc",9
"30 Apr 2014","15DAE","Cc",13
"03 May 2014","18DAE","Cc",13
"06 May 2014","21DAE","Cc",18
"09 May 2014","24DAE","Cc",24
"12 May 2014","27DAE","Cc",27
"15 May 2014","30DAE","Cc",27
"18 May 2014","33DAE","Cc",30
"21 May 2014","36DAE","Cc",40
"24 May 2014","39DAE","Cc",45
"27 May 2014","42DAE","Cc",46
"30 May 2014","45DAE","Cc",45
"02 Jun 2014","48DAE","Cc",51
"05 Jun 2014","51DAE","Cc",53
"14 Apr 2014","-1DAE","Cd",0
"18 Apr 2014","3DAE","Cd",0
"21 Apr 2014","6DAE","Cd",1
"24 Apr 2014","9DAE","Cd",37
"27 Apr 2014","12DAE","Cd",113
"30 Apr 2014","15DAE","Cd",137
"03 May 2014","18DAE","Cd",138
"06 May 2014","21DAE","Cd",197
"09 May 2014","24DAE","Cd",257
"12 May 2014","27DAE","Cd",298
"15 May 2014","30DAE","Cd",305
"18 May 2014","33DAE","Cd",333
"21 May 2014","36DAE","Cd",452
"24 May 2014","39DAE","Cd",547
"27 May 2014","42DAE","Cd",570
"30 May 2014","45DAE","Cd",575
"02 Jun 2014","48DAE","Cd",601
"05 Jun 2014","51DAE","Cd",603
"14 Apr 2014","-1DAE","Ce",0
"18 Apr 2014","3DAE","Ce",0
"21 Apr 2014","6DAE","Ce",0
"24 Apr 2014","9DAE","Ce",0
"27 Apr 2014","12DAE","Ce",9
"30 Apr 2014","15DAE","Ce",11
"03 May 2014","18DAE","Ce",11
"06 May 2014","21DAE","Ce",21
"09 May 2014","24DAE","Ce",26
"12 May 2014","27DAE","Ce",30
