treatment,sum.total.cocoons,sum.female.cocoons,sum.male.cocoons
Ca,307,148,159
Cb,424,209,215
Cc,6,0,6
Cd,374,180,194
Ce,4,1,3
Cf,34,8,26
Cg,493,226,267
Ch,63,21,42
