"Date","DAE","treatment","female"
"14 Apr 2014","-1DAE","Ca",1
"18 Apr 2014","3DAE","Ca",4
"21 Apr 2014","6DAE","Ca",5
"27 Apr 2014","12DAE","Ca",26
"03 May 2014","18DAE","Ca",11
"09 May 2014","24DAE","Ca",28
"15 May 2014","30DAE","Ca",27
"21 May 2014","36DAE","Ca",8
"27 May 2014","42DAE","Ca",15
"02 Jun 2014","48DAE","Ca",15
"14 Apr 2014","-1DAE","Cb",2
"18 Apr 2014","3DAE","Cb",6
"21 Apr 2014","6DAE","Cb",3
"27 Apr 2014","12DAE","Cb",25
"03 May 2014","18DAE","Cb",18
"09 May 2014","24DAE","Cb",38
"15 May 2014","30DAE","Cb",24
"21 May 2014","36DAE","Cb",15
"27 May 2014","42DAE","Cb",29
"02 Jun 2014","48DAE","Cb",20
"14 Apr 2014","-1DAE","Cc",2
"18 Apr 2014","3DAE","Cc",3
"21 Apr 2014","6DAE","Cc",5
"27 Apr 2014","12DAE","Cc",5
"03 May 2014","18DAE","Cc",5
"09 May 2014","24DAE","Cc",4
"15 May 2014","30DAE","Cc",5
"21 May 2014","36DAE","Cc",4
"27 May 2014","42DAE","Cc",4
"02 Jun 2014","48DAE","Cc",2
"14 Apr 2014","-1DAE","Cd",1
"18 Apr 2014","3DAE","Cd",5
"21 Apr 2014","6DAE","Cd",10
"27 Apr 2014","12DAE","Cd",24
"03 May 2014","18DAE","Cd",27
"09 May 2014","24DAE","Cd",30
"15 May 2014","30DAE","Cd",23
"21 May 2014","36DAE","Cd",20
"27 May 2014","42DAE","Cd",15
"02 Jun 2014","48DAE","Cd",9
"14 Apr 2014","-1DAE","Ce",0
"18 Apr 2014","3DAE","Ce",2
"21 Apr 2014","6DAE","Ce",0
"27 Apr 2014","12DAE","Ce",9
"03 May 2014","18DAE","Ce",5
"09 May 2014","24DAE","Ce",7
"15 May 2014","30DAE","Ce",6
"21 May 2014","36DAE","Ce",2
"27 May 2014","42DAE","Ce",3
"02 Jun 2014","48DAE","Ce",3
"14 Apr 2014","-1DAE","Cf",0
"18 Apr 2014","3DAE","Cf",0
"21 Apr 2014","6DAE","Cf",5
"27 Apr 2014","12DAE","Cf",14
"03 May 2014","18DAE","Cf",17
"09 May 2014","24DAE","Cf",13
"15 May 2014","30DAE","Cf",8
"21 May 2014","36DAE","Cf",4
"27 May 2014","42DAE","Cf",6
"02 Jun 2014","48DAE","Cf",2
"14 Apr 2014","-1DAE","Cg",1
"18 Apr 2014","3DAE","Cg",5
"21 Apr 2014","6DAE","Cg",14
"27 Apr 2014","12DAE","Cg",34
"03 May 2014","18DAE","Cg",15
"09 May 2014","24DAE","Cg",40
"15 May 2014","30DAE","Cg",34
"21 May 2014","36DAE","Cg",30
"27 May 2014","42DAE","Cg",28
"02 Jun 2014","48DAE","Cg",13
"14 Apr 2014","-1DAE","Ch",1
"18 Apr 2014","3DAE","Ch",1
"21 Apr 2014","6DAE","Ch",4
"27 Apr 2014","12DAE","Ch",14
"03 May 2014","18DAE","Ch",23
"09 May 2014","24DAE","Ch",15
"15 May 2014","30DAE","Ch",10
"21 May 2014","36DAE","Ch",7
"27 May 2014","42DAE","Ch",9
"02 Jun 2014","48DAE","Ch",8
