"var","bees.emerged.yr","f.emerged.yr","m.emerged.yr","bees.nesting","sum.cells","sum.f.cells","sum.m.cells"
"a.cell.age",0.0678754261047834,0.0479399445625327,0.0651860645657916,0.00385483452819262,0.0722073076298854,0.0486479817942324,0.069621465033736
"a.cell.resource",-0.748190426674786,-0.700156830342,-0.702203906230852,-0.00743051041245468,-0.763231662390529,-0.724703559517008,-0.715785731978081
"a.sex.age",0.0120820582145647,0.370379692397661,-0.18393594890032,-0.00882658184578404,0.00991129796242691,0.39506722341257,-0.191408814452358
"a.sex.resource",0.00745339728114502,-0.207782390393473,0.130105319568567,0.00306084241247101,0.00705195561685227,-0.223098305135726,0.132237076981419
"a.size.age",0.0629763923333458,0.0308170776719174,0.0674423824822623,0.0136919743228532,0.0180195491961423,0.00908401214439792,0.0189152984142562
"a.size.resource",-0.171265575417395,-0.14347975804816,-0.156912207268579,0.00118696644882465,0.00816569095407631,0.00424589641539479,0.00606294447968577
"emerged.survival",0.422153068903379,0.356352864743462,0.384609425884877,0.72623885608752,0.438286708841997,0.3781649259657,0.397983446099456
"max.cells",0.787631747773207,0.745216711587155,0.744475265309209,-0.00686604866017106,0.800890550679369,0.767207496649303,0.757401019717977
"max.f.ratio",-0.00802650214708612,0.637037909703333,-0.405143203520646,0.00244265842405003,-0.00788120117387727,0.661090579172564,-0.408194307262125
"max.nesting.life",0.416699675775768,0.178608644172096,0.465952294838463,-0.0087321971455297,0.442257833014552,0.192250876138,0.489683890613091
"max.survival.e.f",0.670780169045606,0.602243351648893,0.633323622622742,0.73652805985346,0.416541025742771,0.369606125041048,0.383706282418401
"p.max.nesting.life",0.555364188494044,0.280256504646354,0.59724889305081,-0.00148553347107609,0.579108049299179,0.300490633199283,0.617938473997884
"t.maturation",-0.364633069165288,-0.599075568970694,-0.139649933843026,0.00552303422943747,-0.36247225335161,-0.618753873654773,-0.130877753780625
"var.emerge.f",0.316139759555202,0.414257827949044,0.225670003786499,0.00364622491672557,0.318242674893041,0.42970576465393,0.225583619069559
