"var","bees.emerged.yr","f.emerged.yr","m.emerged.yr","bees.nesting","sum.cells","sum.f.cells","sum.m.cells"
"a.cell.age",0.0336141602951869,0.0159426903182154,0.0410605354988307,-0.00552377669432237,0.0387303890807536,0.0245337982010355,0.042550282778679
"a.cell.resource",-0.806933005546265,-0.810074703678824,-0.754668333165789,0.0146438986633282,-0.81708259721357,-0.828044309425752,-0.764852949347493
"a.sex.age",0.00843391100108187,0.408049361189301,-0.217212749197268,0.00863860125353443,0.00402078916174672,0.43655613619628,-0.229348073206257
"a.sex.resource",0.00166794034219669,-0.311756171756168,0.177751366634524,-0.000227637102702506,0.000773319535008345,-0.330573782415608,0.179352996945853
"a.size.age",0.034626616012117,0.0197032683947184,0.0379624231177981,-0.00975537852832605,-0.0126176419270925,-0.00815126126223031,-0.0122788012664494
"a.size.resource",-0.223977350477167,-0.223654971789735,-0.192244854383587,-0.00707567751827781,-5.11665173457433e-05,-0.0038845524005551,0.00234550188482931
"emerged.survival",0.487924751155553,0.486639106447042,0.433342851620953,0.724990619784448,0.503150542206908,0.515987679957213,0.444349577834717
"max.cells",0.844544341773056,0.844107017528867,0.800289908665041,0.00504920767017173,0.853300951636473,0.859922978645326,0.809495664932547
"max.f.ratio",0.011579875873961,0.783553663190997,-0.520179008323396,-0.000135746581051376,0.0139181950909419,0.804049011701027,-0.524614139168927
"max.nesting.life",0.405204545011069,0.234886482262209,0.437376089257464,-0.00555671184476976,0.430402804135713,0.25721828150989,0.459150345371743
"max.survival.e.f",0.762028039659485,0.755656803745938,0.713292479279053,0.740867915360046,0.514237598679732,0.525552319188839,0.458792895718813
"p.max.nesting.life",0.550619821367689,0.38228790588315,0.570578340879862,0.00422497591699188,0.573289634758736,0.411131548509133,0.590019887587882
"t.maturation",0.00301095521453157,0.0148574883389597,-0.00612154176347148,0.00958255140021098,-0.000932281268785954,0.0107272894950599,-0.00739500363108432
"var.emerge.f",-0.00194074287224181,-0.00438382723536906,-0.00580711174557985,0.00504763625986739,-0.00129453580892135,-0.00502892812358067,-0.00463753876150405
