"Date","DAE","treatment","sum.cells"
"24 Apr 2015",3,"Ca",0
"27 Apr 2015",6,"Ca",6
"30 Apr 2015",9,"Ca",16
"03 May 2015",12,"Ca",25
"06 May 2015",15,"Ca",127
"09 May 2015",18,"Ca",354
"12 May 2015",21,"Ca",628
"15 May 2015",24,"Ca",831
"18 May 2015",27,"Ca",877
"21 May 2015",30,"Ca",896
"24 May 2015",33,"Ca",906
"27 May 2015",36,"Ca",917
"24 Apr 2015",3,"Cb",0
"27 Apr 2015",6,"Cb",1
"30 Apr 2015",9,"Cb",2
"03 May 2015",12,"Cb",3
"06 May 2015",15,"Cb",38
"09 May 2015",18,"Cb",219
"12 May 2015",21,"Cb",535
"15 May 2015",24,"Cb",840
"18 May 2015",27,"Cb",915
"21 May 2015",30,"Cb",936
"24 May 2015",33,"Cb",946
"27 May 2015",36,"Cb",949
"24 Apr 2015",3,"Cc",0
"27 Apr 2015",6,"Cc",0
"30 Apr 2015",9,"Cc",2
"03 May 2015",12,"Cc",7
"06 May 2015",15,"Cc",65
"09 May 2015",18,"Cc",260
"12 May 2015",21,"Cc",608
"15 May 2015",24,"Cc",842
"18 May 2015",27,"Cc",889
"21 May 2015",30,"Cc",900
"24 May 2015",33,"Cc",909
"27 May 2015",36,"Cc",912
"24 Apr 2015",3,"Cd",0
"27 Apr 2015",6,"Cd",0
"30 Apr 2015",9,"Cd",2
"03 May 2015",12,"Cd",4
"06 May 2015",15,"Cd",14
"09 May 2015",18,"Cd",53
"12 May 2015",21,"Cd",113
"15 May 2015",24,"Cd",207
"18 May 2015",27,"Cd",305
"21 May 2015",30,"Cd",394
"24 May 2015",33,"Cd",579
"27 May 2015",36,"Cd",687
"24 Apr 2015",3,"Ce",0
"27 Apr 2015",6,"Ce",0
"30 Apr 2015",9,"Ce",0
"03 May 2015",12,"Ce",0
"06 May 2015",15,"Ce",14
"09 May 2015",18,"Ce",65
"12 May 2015",21,"Ce",150
"15 May 2015",24,"Ce",312
"18 May 2015",27,"Ce",484
"21 May 2015",30,"Ce",602
"24 May 2015",33,"Ce",736
"27 May 2015",36,"Ce",807
"24 Apr 2015",3,"Cf",0
"27 Apr 2015",6,"Cf",0
"30 Apr 2015",9,"Cf",0
"03 May 2015",12,"Cf",2
"06 May 2015",15,"Cf",18
"09 May 2015",18,"Cf",44
"12 May 2015",21,"Cf",92
"15 May 2015",24,"Cf",185
"18 May 2015",27,"Cf",278
"21 May 2015",30,"Cf",359
"24 May 2015",33,"Cf",512
"27 May 2015",36,"Cf",611
"24 Apr 2015",3,"Cg",0
"27 Apr 2015",6,"Cg",0
"30 Apr 2015",9,"Cg",0
"03 May 2015",12,"Cg",1
"06 May 2015",15,"Cg",14
"09 May 2015",18,"Cg",42
"12 May 2015",21,"Cg",75
"15 May 2015",24,"Cg",162
"18 May 2015",27,"Cg",252
"21 May 2015",30,"Cg",333
"24 May 2015",33,"Cg",507
"27 May 2015",36,"Cg",625
"24 Apr 2015",3,"Ch",0
"27 Apr 2015",6,"Ch",0
"30 Apr 2015",9,"Ch",0
"03 May 2015",12,"Ch",2
"06 May 2015",15,"Ch",39
"09 May 2015",18,"Ch",146
"12 May 2015",21,"Ch",347
"15 May 2015",24,"Ch",580
"18 May 2015",27,"Ch",713
"21 May 2015",30,"Ch",775
"24 May 2015",33,"Ch",827
"27 May 2015",36,"Ch",850
